Date,Accident_Severity,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Vehicle_Type,Road_Type,Speed_limit,Number_of_Casualties,Number_of_Vehicles,Latitude,Longitude
2015-01-01 00:00:00.000000,Slight,Fine no high winds,Wet or damp,Daylight,Motorcycle,Single carriageway,70,1,2,56.2279,-3.2465
2015-01-02 22:46:01.841227,Fatal,Fine no high winds,Wet or damp,Daylight,Car,Roundabout,40,4,1,50.451,-0.8917
2015-01-04 21:32:03.682454,Serious,Fine no high winds,Dry,Daylight,Goods vehicle,Single carriageway,60,3,1,54.2005,-0.5425
2015-01-06 20:18:05.523682,Slight,Fine no high winds,Wet or damp,Daylight,Motorcycle,Single carriageway,30,1,1,50.667,0.7177
2015-01-08 19:04:07.364909,Slight,Fine no high winds,Wet or damp,Daylight,Car,Dual carriageway,50,1,2,56.6983,-0.9701
2015-01-10 17:50:09.206137,Slight,Fine no high winds,Wet or damp,Daylight,Van,One way street,30,4,2,54.9041,-1.7411
2015-01-12 16:36:11.047364,Slight,Raining no high winds,Frost or ice,Darkness - lights lit,Car,Single carriageway,30,1,1,51.3796,0.6106
2015-01-14 15:22:12.888592,Serious,Fine no high winds,Dry,Daylight,Car,Single carriageway,40,5,3,50.1659,1.3952
2015-01-16 14:08:14.729819,Slight,Raining no high winds,Wet or damp,Daylight,Motorcycle,Dual carriageway,40,1,2,50.2526,-0.4519
2015-01-18 12:54:16.571047,Serious,Fine + high winds,Dry,Darkness - lights unlit,Car,One way street,40,5,2,54.0589,0.8091
2015-01-20 11:40:18.412274,Slight,Fine + high winds,Dry,Daylight,Goods vehicle,Roundabout,30,1,1,55.875,-0.707
2015-01-22 10:26:20.253502,Fatal,Raining no high winds,Dry,Daylight,Goods vehicle,Slip road,30,2,3,50.9667,-0.2062
2015-01-24 09:12:22.094729,Serious,Snowing no high winds,Dry,Daylight,Van,Single carriageway,30,1,1,51.7703,-0.2151
2015-01-26 07:58:23.935957,Slight,Fine no high winds,Dry,Darkness - lights lit,Car,Single carriageway,30,5,1,52.6181,-0.1237
2015-01-28 06:44:25.777184,Slight,Fine no high winds,Wet or damp,Daylight,Car,Dual carriageway,30,1,3,51.7446,-2.2344
2015-01-30 05:30:27.618412,Slight,Fine no high winds,Dry,Daylight,Bus or coach,Roundabout,30,1,3,53.1307,-0.8339
2015-02-01 04:16:29.459639,Slight,Raining no high winds,Wet or damp,Daylight,Car,Single carriageway,30,1,3,54.4769,-0.7323
2015-02-03 03:02:31.300867,Slight,Raining + high winds,Dry,Darkness - no lighting,Car,Single carriageway,60,5,2,55.4795,-2.2671
2015-02-05 01:48:33.142094,Slight,Fine no high winds,Dry,Daylight,Car,Dual carriageway,20,1,1,57.7102,-2.0758
2015-02-07 00:34:34.983322,Slight,Fog or mist,Wet or damp,Daylight,Car,Single carriageway,50,4,2,57.4467,0.1924
2015-02-08 23:20:36.824549,Slight,Fine no high winds,Dry,Darkness - no lighting,Car,Single carriageway,30,4,3,54.561,-0.795
2015-02-10 22:06:38.665777,Slight,Fog or mist,Dry,Daylight,Goods vehicle,Single carriageway,60,5,2,55.8732,-3.1793
2015-02-12 20:52:40.507004,Slight,Fine no high winds,Wet or damp,Darkness - no lighting,Goods vehicle,Dual carriageway,40,2,3,57.607,0.607
2015-02-14 19:38:42.348232,Slight,Fine no high winds,Dry,Daylight,Car,Dual carriageway,30,4,3,50.6678,0.8571
2015-02-16 18:24:44.189459,Slight,Fine no high winds,Dry,Darkness - lights lit,Car,Single carriageway,40,3,1,50.0451,-1.4362
2015-02-18 17:10:46.030687,Serious,Fine no high winds,Dry,Daylight,Car,Dual carriageway,30,4,1,50.2384,-2.851
